s_no,emp_imei,status
111,351666090029672,ReqSent
112,351666090029045,ReqSent
113,351666090001945,PollReq
114,351666090035448,PollReq
115,351666090029862,PollReq
116,351666090030290,UpdateComplete
117,351666090029987,
118,351666090017636,PollReq
119,351666090030357,PollReq
120,351666090013015,PollReq
121,351666090030225,PollReq
122,351666090009815,UpdateComplete
123,351666090009948,
124,351666090013585,
125,351666090030605,PollReq
126,351666090029888,
127,351666090047740,PollReq
128,351666090030415,PollReq
129,351666090008189,ReqSent
130,351666090034748,
131,351666090032536,
132,351666090028963,PollReq
133,351666090032478,
134,351666090004030,PollReq
135,351666090035430,
136,351666090012553,
137,351666090038111,ReqSent
138,351666090009963,PollReq
139,351666090008734,
140,351666090009419,PollReq
141,351666090009567,
142,351666090009575,PollReq
143,351666090009732,PollReq
144,351666090009740,
145,351666090009864,ReqSent
146,351666090016638,PollReq
147,351666090029755,PollReq
148,351666090029946,
149,351666090030126,PollReq
150,351666090012249,ReqSent
151,351666090047666,PollReq
152,351666090001838,PollReq
153,351666090001895,PollReq
154,351666090028856,PollReq
155,351666090009146,ReqSent
156,351666090038152,
157,351666090008502,PollReq
158,351666090038178,PollReq
159,351666090008668,PollReq
160,351666090032411,PollReq
161,351666090032601,PollReq
162,351666090009088,PollReq
163,351666090029284,PollReq
164,351666090038160,
165,351666090008882,ReqSent
166,351666090035265,PollReq
167,351666090035356,
168,351666090001317,PollReq
169,351666090029474,PollReq
170,351666090004097,
171,351666090000178,ReqSent
172,351666090011068,
173,351666090030217,ReqSent
174,351666090035638,PollReq
175,351666090016935,PollReq
176,351666090008999,
177,351666090035315,PollReq
178,351666090030035,PollReq
179,351666090015127,
180,351666090009955,PollReq
181,351666090010078,PollReq
182,351666090012512,PollReq
183,351666090016687,PollReq
184,351666090015317,PollReq
185,351666090032502,ReqSent
186,351666090009443,ReqSent
187,351666090038277,PollReq
188,351666090029060,
189,351666090047799,
190,351666090004105,
191,351666090009484,PollReq
192,351666090015291,PollReq
193,351666090002265,PollReq
194,351666090012231,PollReq
195,351666090003974,PollReq
196,351666090015085,PollReq
197,351666090029789,PollReq
198,351666090031868,PollReq
199,351666090009278,PollReq
200,351666090012058,
201,351666090000830,
202,351666090047682,
203,351666090008767,PollReq
204,351666090015309,PollReq
205,351666090029607,PollReq
206,351666090000467,
207,351666090030050,
208,351666090001200,
209,351666090032338,
210,351666090035505,PollReq
211,351666090015192,PollReq
212,351666090029953,
213,351666090030084,
214,351666090030209,
215,351666090009781,
216,351666090001952,ReqSent
217,351666090030407,
218,351666090012215,PollReq
219,351666090012280,PollReq
